"measure","scenario","period","climset","strategy","value","value_hist"
"Copco1 Mean Spill Days per Year","HD",2070,"CMIP5","Baseline",38.0333,42.8
"Copco1 Mean Spill Days per Year","HD",2070,"CMIP5","Reduce ET 30%",38.7,42.8
"Copco1 Mean Spill Days per Year","HD",2070,"CMIP5","Reduce ET 50%",39.1667,42.8
"Copco1 Mean Spill Days per Year","HW",2070,"CMIP3","Add 30KAF",63.5,42.8
"Copco1 Mean Spill Days per Year","HW",2070,"CMIP3","Baseline",61.8333,42.8
"Copco1 Mean Spill Days per Year","HW",2070,"CMIP3","Reduce ET 30%",62.7,42.8
"Copco1 Mean Spill Days per Year","HW",2070,"CMIP3","Reduce ET 50%",63.1333,42.8
"Copco1 Mean Spill Days per Year","HW",2070,"CMIP5","Add 30KAF",64.4667,42.8
"Copco1 Mean Spill Days per Year","HW",2070,"CMIP5","Baseline",62.4333,42.8
"Copco1 Mean Spill Days per Year","HW",2070,"CMIP5","Reduce ET 30%",63.1,42.8
"Copco1 Mean Spill Days per Year","HW",2070,"CMIP5","Reduce ET 50%",63.5667,42.8
"Copco1 Mean Spill Days per Year","CT",2070,"CMIP3","Add 30KAF",56,42.8
"Copco1 Mean Spill Days per Year","CT",2070,"CMIP3","Baseline",54.4333,42.8
"Copco1 Mean Spill Days per Year","CT",2070,"CMIP3","Reduce ET 30%",55,42.8
"Copco1 Mean Spill Days per Year","CT",2070,"CMIP3","Reduce ET 50%",55.0667,42.8
"Copco1 Mean Spill Days per Year","CT",2070,"CMIP5","Add 30KAF",53.4,42.8
"Copco1 Mean Spill Days per Year","CT",2070,"CMIP5","Baseline",51.2333,42.8
"Copco1 Mean Spill Days per Year","CT",2070,"CMIP5","Reduce ET 30%",51.5667,42.8
"Copco1 Mean Spill Days per Year","CT",2070,"CMIP5","Reduce ET 50%",52,42.8
"Copco1 Mean Spill Volume per Year","WD",2030,"CMIP3","Add 30KAF",221.1616,186.3791
"Copco1 Mean Spill Volume per Year","WD",2030,"CMIP3","Baseline",211.8479,186.3791
"Copco1 Mean Spill Volume per Year","WD",2030,"CMIP3","Reduce ET 30%",212.1443,186.3791
"Copco1 Mean Spill Volume per Year","WD",2030,"CMIP3","Reduce ET 50%",211.8711,186.3791
"Copco1 Mean Spill Volume per Year","WD",2030,"CMIP5","Add 30KAF",201.1513,186.3791
"Copco1 Mean Spill Volume per Year","WD",2030,"CMIP5","Baseline",192.9485,186.3791
"Copco1 Mean Spill Volume per Year","WD",2030,"CMIP5","Reduce ET 30%",193.3594,186.3791
"Copco1 Mean Spill Volume per Year","WD",2030,"CMIP5","Reduce ET 50%",193.8772,186.3791
"Copco1 Mean Spill Volume per Year","WW",2030,"CMIP3","Add 30KAF",352.7075,186.3791
"Copco1 Mean Spill Volume per Year","WW",2030,"CMIP3","Baseline",342.3819,186.3791
"Copco1 Mean Spill Volume per Year","WW",2030,"CMIP3","Reduce ET 30%",343.6325,186.3791
"Copco1 Mean Spill Volume per Year","WW",2030,"CMIP3","Reduce ET 50%",344.6712,186.3791
"Copco1 Mean Spill Volume per Year","WW",2030,"CMIP5","Add 30KAF",357.8191,186.3791
"Copco1 Mean Spill Volume per Year","WW",2030,"CMIP5","Baseline",347.0357,186.3791
"Copco1 Mean Spill Volume per Year","WW",2030,"CMIP5","Reduce ET 30%",347.5113,186.3791
"Copco1 Mean Spill Volume per Year","WW",2030,"CMIP5","Reduce ET 50%",348.2615,186.3791
"Copco1 Mean Spill Volume per Year","HD",2030,"CMIP3","Add 30KAF",233.2393,186.3791
"Copco1 Mean Spill Volume per Year","HD",2030,"CMIP3","Baseline",224.3456,186.3791
"Copco1 Mean Spill Volume per Year","HD",2030,"CMIP3","Reduce ET 30%",225.0759,186.3791
"Copco1 Mean Spill Volume per Year","HD",2030,"CMIP3","Reduce ET 50%",225.5267,186.3791
"Copco1 Mean Spill Volume per Year","HD",2030,"CMIP5","Add 30KAF",211.7199,186.3791
"Copco1 Mean Spill Volume per Year","HD",2030,"CMIP5","Baseline",203.2339,186.3791
"Copco1 Mean Spill Volume per Year","HD",2030,"CMIP5","Reduce ET 30%",204.3828,186.3791
"Copco1 Mean Spill Volume per Year","HD",2030,"CMIP5","Reduce ET 50%",205.1439,186.3791
"Copco1 Mean Spill Volume per Year","HW",2030,"CMIP3","Add 30KAF",467.945,186.3791
"Copco1 Mean Spill Volume per Year","HW",2030,"CMIP3","Baseline",454.8438,186.3791
"Copco1 Mean Spill Volume per Year","HW",2030,"CMIP3","Reduce ET 30%",456.9739,186.3791
"Copco1 Mean Spill Volume per Year","HW",2030,"CMIP3","Reduce ET 50%",458.8738,186.3791
"Copco1 Mean Spill Volume per Year","HW",2030,"CMIP5","Add 30KAF",440.387,186.3791
"Copco1 Mean Spill Volume per Year","HW",2030,"CMIP5","Baseline",428.1692,186.3791
"Copco1 Mean Spill Volume per Year","HW",2030,"CMIP5","Reduce ET 30%",430.1266,186.3791
"Copco1 Mean Spill Volume per Year","HW",2030,"CMIP5","Reduce ET 50%",431.5402,186.3791
"Copco1 Mean Spill Volume per Year","CT",2030,"CMIP3","Add 30KAF",298.0948,186.3791
"Copco1 Mean Spill Volume per Year","CT",2030,"CMIP3","Baseline",288.0424,186.3791
