"measure","scenario","period","climset","strategy","value_hist","pctchange","colournm"
"ScottSalmonReach Mean Ann Fishing Days","2",2030,"CMIP5","Reduce ET 50%",183.9667,8.89650137769499,"3"
"ScottSalmonReach Mean Ann Fishing Days","2",2030,"CMIP5","Add 30KAF",183.9667,8.55225429384774,"3"
"ScottSalmonReach Mean Ann Fishing Days","3",2030,"CMIP3","Baseline",183.9667,-0.0543576636423844,"2"
"ScottSalmonReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 30%",183.9667,-0.144971888934255,"2"
"ScottSalmonReach Mean Ann Fishing Days","3",2030,"CMIP3","Reduce ET 50%",183.9667,0.0181011019929134,"3"
"ScottSalmonReach Mean Ann Fishing Days","3",2030,"CMIP3","Add 30KAF",183.9667,-0.163072990927169,"2"
"ScottSalmonReach Mean Ann Fishing Days","3",2030,"CMIP5","Baseline",183.9667,0.688494167694485,"3"
"ScottSalmonReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 30%",183.9667,0.543576636423875,"3"
"ScottSalmonReach Mean Ann Fishing Days","3",2030,"CMIP5","Reduce ET 50%",183.9667,0.471063513124933,"3"
"ScottSalmonReach Mean Ann Fishing Days","3",2030,"CMIP5","Add 30KAF",183.9667,0.43486130913909,"3"
"ScottSalmonReach Mean Ann Fishing Days","4",2030,"CMIP3","Baseline",183.9667,14.9845597056424,"4"
"ScottSalmonReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 30%",183.9667,15.0389173692848,"4"
"ScottSalmonReach Mean Ann Fishing Days","4",2030,"CMIP3","Reduce ET 50%",183.9667,15.0027151652989,"4"
"ScottSalmonReach Mean Ann Fishing Days","4",2030,"CMIP3","Add 30KAF",183.9667,15.0027151652989,"4"
"ScottSalmonReach Mean Ann Fishing Days","4",2030,"CMIP5","Baseline",183.9667,14.2779100782913,"4"
"ScottSalmonReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 30%",183.9667,14.2960655379479,"4"
"ScottSalmonReach Mean Ann Fishing Days","4",2030,"CMIP5","Reduce ET 50%",183.9667,14.5496983965033,"4"
"ScottSalmonReach Mean Ann Fishing Days","4",2030,"CMIP5","Add 30KAF",183.9667,14.2779100782913,"4"
"ScottSalmonReach Mean Ann Fishing Days","5",2030,"CMIP3","Baseline",183.9667,2.46419596590035,"3"
"ScottSalmonReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 30%",183.9667,2.40983830225796,"3"
"ScottSalmonReach Mean Ann Fishing Days","5",2030,"CMIP3","Reduce ET 50%",183.9667,2.44609486390744,"3"
